"URL","IP countries","IP regions","Versions","Languages","Hits"
"https://www.jarir.com","US","","","en","985"
"https://www.made.com","IE","L","","ca,de,en,es,fr,nl","985"
"https://grupotodoadollar.com","US","FL","2","en","971"
"https://babyboys.com.br","US","NY","2","pt","952"
"http://greyimpulse.ae","DE","BY","2","en","951"
"https://www.skroutz.com.cy","DE","","2","el,en","932"
"http://luma.com","VG","","2","en","926"
"https://www.marvimundo.com","IE","L","2","es","926"
"https://tbsmagento2.smilla.ch","DE","","2","de","916"
"https://purplebox.qa","GB","ENG","","en","913"
"https://gr8.jp","JP","13","2","ja","911"
"https://www.riachuelo.com.br","US","","2","pt,pt-BR","910"
"https://www.reserved.com","US","","","cs,de,en,et,hr,hu,it,lv,pl,ro,ru,sk,uk","910"
"http://3j2j4adwfv.preview.infomaniak.website","CH","","2","fr","893"
"https://thefactory.tyett.com","US","NJ","2","en","890"
"https://www.seton.net.au","AU","NSW","","en","876"
"https://www.dormeo.co.uk","US","","2","en","870"
"https://www.legrenier.ca","US","","","en,fr","865"
"https://shop.bioworldcanada.com","US","","2","en","862"
"https://www.progear.ee","EE","59","","en","848"
"https://hiraoka.com.pe","US","","2","es","848"
"https://allfinishes.co.uk","GB","","2","en,en-US","848"
"https://www.baranpet.com","IR","","","fa","841"
"https://www.jomashop.com","US","","Enterprise","en,en-US","837"
"https://www.teleshopromania.ro","US","","","en,ro","837"
"https://blackhole.consulting","FI","","2","es","835"
"http://eleke.com.ng","GB","ENG","2","en","826"
"https://truckparts.com.au","AU","NSW","Community","en","824"
"https://www.eoutlet.com","IN","MH","2","ar,en","822"
"https://comfy.ua","US","","Enterprise","ru,uk","814"
"https://kannzz.com","US","VA","2","ar,en","809"
"https://woodz.com.br","BR","SP","Community","en,pt","804"
"https://casynet.loc","","","2","en,vi","795"
"https://www.bestbuy.com.mx","US","","","en,es","785"
"https://store.webkul.com","US","","","en,en-US","784"
"https://mg-fung.gc.smartdrop.com.hk","JP","13","2","en,en_US","784"
"https://prod.aaw.com","BH","","2","en","781"
"https://www.yaubros.co.uk","US","CA","2","en,zh","781"
